Proteins,ECC,GO,SubCell
YML026C,53.4615242,54.32777778,0
YDL083C,53.4615242,54.32777778,0
YML063W,53.4615242,54.32777778,0
YDR447C,53.4615242,54.32777778,0
YKR057W,53.4615242,54.32777778,0
YJL136C,53.4615242,54.32777778,0
YPR187W,15.68820901,183.6376984,0
YPL090C,52.9963305,54.32777778,0
YDR450W,52.96183749,54.32777778,0
YLR388W,52.96183749,54.32777778,0
YJL191W,52.96183749,54.32777778,0
YPR162C,15.51805196,183.5714286,102
YDR025W,52.41525551,54.32777778,0
YJR145C,52.41525551,54.32777778,0
YBR048W,52.41525551,54.32777778,0
YGR118W,52.34629,54.32777778,0
YNL096C,52.34629,54.32777778,0
YGR214W,52.34629,54.32777778,0
YOR096W,52.34629,54.32777778,0
YOR151C,11.59173111,211.6692301,0
YKL143W,14.59029286,165.3655678,0
YKL170W,25.66224945,94,0
YMR225C,30.47450543,75.75,0
YOR158W,14.95816145,152.5,0
YDL140C,9.675454095,234.8643228,0
YDR060W,10.946625,207.1027778,0
YCR046C,16.61897522,134,0
YOR340C,13.45475956,162.6666667,132
YPR100W,13.90570694,112.7666667,150
YGR084C,16.24286988,128,0
YGR162W,8.828021265,224.1080087,0
YOL005C,9.060027301,213.5833333,36
YNL308C,5.833979801,330,0
YKL138C,23.9878554,78.33333333,80
YBR060C,15.16034445,125.3441558,102
YJL069C,9.01505927,205,0
YPR102C,75.93149169,24.13333333,0
YIL021W,8.965721552,201.9285714,0
YML065W,14.3566488,125.5558442,102
YOR210W,14.32914218,123.8277778,0
YLR312WA,26.43447152,67.08333333,0
YKL080W,10.17990196,172.5,0
YBR146W,17.2311561,100.5,0
YGR020C,9.536670107,181.5,0
YNR003C,11.82292262,145.5,132
YNL306W,17.54332541,96.16666667,0
YAL035W,7.905672981,210.4985459,0
YDR337W,17.08829896,96.16666667,0
YGR148C,77.41751696,21.1,0
YJR006W,13.4504203,121.2857143,80
YKL144C,12.2889923,83.58333333,132
YIL035C,9.341493323,173.2948413,0
YNL301C,75.92755983,21.23333333,0
YML025C,19.12815834,82.66666667,0
YOR332W,9.93669729,157,0
YEL051W,10.02082427,154.3333333,0
YLR249W,6.516479263,235.4333333,0
YMR146C,7.010847346,76.78336941,214.5
YNL151C,11.3549988,108.9166667,132
YJR022W,4.151265664,142.5833333,358
YLR061W,77.88653417,19.06666667,0
YBR084CA,77.88653417,19.06666667,0
